checklist_id,story_headline,story_lane,date,start_time,end_time,borough,route_or_location,editorial_priority,news_desk_status,confidence,assignment_score,permit_event_id,field_desk_link,coordinate_status
tvpp-9vvx:955268@2026-07-26,St. Irene Feast Annual celebration,religious_procession_feast,2026-07-26,11:30,13:00,Queens,"3607 23 AVENUE, 23 AVENUE between 36 STREET and 33 STREET,  33 STREET between 23 AVENUE and DITMARS BOULEVARD,  DITMARS BOULEVARD between 33 STREET and 36 STREET,  36 STREET between DITMARS BOULEVARD and 23 AVENUE, 3607 23 AVENUE",highest,unchecked,permit_confirmed,400,955268,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-26&borough=Queens,map_ready
tvpp-9vvx:932306@2026-07-28,Bronx Anti-Stigma March,parade_march,2026-07-28,10:00,12:00,Bronx,"EAST  149 STREET between BROOK AVENUE and BERGEN AVENUE,  GRAND CONCOURSE between EAST  149 STREET AND BROOK AVE and 161ST AND GRANDCONCOURSE, Joyce Kilmer Park: Picnic or Passive Event/Open Lawn",highest,unchecked,permit_confirmed,400,932306,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-28&borough=Bronx,map_ready
title:bronx anti-stigma march@2026-07-28@bronx,Bronx Anti-Stigma March,parade_march,2026-07-28,11:00,13:00,Bronx,EAST  149 STREET between BROOK AVENUE and BERGEN AVENUE  Bronx,highest,unchecked,provisional,400,,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-07-28&borough=Bronx,list_only
tvpp-9vvx:929369@2026-08-01,Anti Gun Violence Rally,parade_march,2026-08-01,12:00,18:00,Brooklyn,Prospect Park: Park Circle Lawn Southeast,highest,unchecked,permit_confirmed,400,929369,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-08-01&borough=Brooklyn,map_ready
tvpp-9vvx:923415@2026-08-01,Brooklyn Beach Sports Festival,pop_up_street_activation,2026-08-01,00:00,19:00,Brooklyn,Coney Island Beach & Boardwalk: Stillwell Avenue Area,highest,unchecked,permit_confirmed,400,923415,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-08-01&borough=Brooklyn,map_ready
tvpp-9vvx:950710@2026-08-01,187 Block Party,pop_up_street_activation,2026-08-01,12:00,18:00,Manhattan,WEST  187 STREET between AMSTERDAM AVENUE and LAUREL HILL TERRACE,highest,unchecked,permit_confirmed,400,950710,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-08-01&borough=Manhattan,map_ready
tvpp-9vvx:894545@2026-08-01,L0UBENGUELA FESTiVAL,pop_up_street_activation,2026-08-01,15:00,19:00,Manhattan,Marcus Garvey Park: Amphitheater,highest,unchecked,permit_confirmed,400,894545,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-08-01&borough=Manhattan,map_ready
tvpp-9vvx:926288@2026-08-01,Wedding ceremony,parade_march,2026-08-01,16:00,18:00,Manhattan,Central Park: Cop Cot,highest,unchecked,permit_confirmed,400,926288,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-08-01&borough=Manhattan,map_ready
tvpp-9vvx:914700@2026-08-01,2026 Queensboro Dance Festival,pop_up_street_activation,2026-08-01,17:00,18:00,Queens,Queensbridge Park: Purple 1,highest,unchecked,permit_confirmed,400,914700,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-08-01&borough=Queens,map_ready
tvpp-9vvx:959625@2026-08-01,Parade,parade_march,2026-08-01,16:00,18:30,Queens,"46-16 ROBINSON STREET, ROBINSON STREET between HOLLY AVENUE and LABURNUM AVENUE,  LABURNUM AVENUE between ROBINSON STREET and KISSENA BOULEVARD,  KISSENA BOULEVARD between LABURNUM AVENUE and 45 AVENUE,  45 AVENUE between KISSENA BOULEVARD and SMART STREET,  SMART STREET between 45 AVENUE and HOLLY AVENUE,  HOLLY AVENUE between SMART STREET and ROBINSON STREET,  ROBINSON STREET between HOLLY AVENUE and LABURNUM AVENUE,  ROBINSON STREET between HOLLY AVENUE and LABURNUM AVENUE",highest,unchecked,permit_confirmed,400,959625,https://setoxxx.github.io/nycif-field-desk/?v=civic-people-facing-v01&resetFilters=1&feeds=main&mode=all&assignment=1&date=2026-08-01&borough=Queens,map_ready
