review_rank,overlap_key,title,start_date_time,address,boroughs,categories,parks_title_date_match,proposed_lat,proposed_lng,coord_proposal_source,coord_proposal_confidence,coord_proposal_reason,google_maps_search_url,google_maps_pin_url,manual_review_status,promotion_allowed,manual_review_notes,approval_decision_reason,source_event_id,permalink
83,bryant park tai chi|2026-07-21,Bryant Park Tai Chi,2026-07-21T07:30:00.000-04:00,Upper Terrace in Bryant Park,['Mn'],['Parks & Recreation'],True,40.75339889526367,-73.98269653320312,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Upper+Terrace+in+Bryant+Park%2C+Mn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.75339889526367%2C-73.98269653320312,pending,False,,,1056096,https://www1.nyc.gov/events/bryant-park-tai-chi/1056096/1
84,built to move circuit training|2026-07-21,Built To Move Circuit Training,2026-07-21T18:00:00.000-04:00,Brooklyn Public Library - Flatbush,['Other'],['Parks & Recreation'],True,40.65189722298,-73.958265781403,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Brooklyn+Public+Library+-+Flatbush%2C+Other%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.65189722298%2C-73.958265781403,pending,False,,,1056196,https://www1.nyc.gov/events/built-to-move-circuit-training/1056196/1
85,canceled low impact bodyweight circuit training|2026-07-16,CANCELED: Low Impact Bodyweight Circuit Training,2026-07-16T18:00:00.000-04:00,Astoria Pool Deck in Astoria Park,['Qn'],['Parks & Recreation'],True,40.778499603271484,-73.92220306396484,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Astoria+Pool+Deck+in+Astoria+Park%2C+Qn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.778499603271484%2C-73.92220306396484,pending,False,,,1056396,https://www1.nyc.gov/events/canceled-low-impact-bodyweight-circuit-training/1056396/1
86,canceled total body fitness|2026-07-21,CANCELED: Total Body Fitness,2026-07-21T08:00:00.000-04:00,Handball Courts in St. John's Park,['Bk'],['Parks & Recreation'],True,40.674130693336,-73.933968603611,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Handball+Courts+in+St.+John%27s+Park%2C+Bk%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.674130693336%2C-73.933968603611,pending,False,,,1056436,https://www1.nyc.gov/events/canceled-total-body-fitness/1056436/1
87,canceled zumba|2026-07-18,CANCELED: Zumba,2026-07-18T10:00:00.000-04:00,Gymnasium in St. John&rsquo;s Recreation Center,['Bk'],['Parks & Recreation'],True,40.67350006,-73.93479919,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Gymnasium+in+St.+John%26rsquo%3Bs+Recreation+Center%2C+Bk%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.67350006%2C-73.93479919,pending,False,,,1056476,https://www1.nyc.gov/events/canceled-zumba/1056476/1
88,canceled zumba|2026-07-25,CANCELED: Zumba,2026-07-25T10:00:00.000-04:00,Gymnasium in St. John&rsquo;s Recreation Center,['Bk'],['Parks & Recreation'],True,40.67350006,-73.93479919,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Gymnasium+in+St.+John%26rsquo%3Bs+Recreation+Center%2C+Bk%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.67350006%2C-73.93479919,pending,False,,,1056496,https://www1.nyc.gov/events/canceled-zumba/1056496/1
89,cardio circuit blast|2026-07-16,Cardio Circuit Blast,2026-07-16T18:00:00.000-04:00,Dance Room in Thomas Jefferson Recreation Center,['Mn'],['Parks & Recreation'],True,40.79349899,-73.93669891,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Dance+Room+in+Thomas+Jefferson+Recreation+Center%2C+Mn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.79349899%2C-73.93669891,pending,False,,,1056616,https://www1.nyc.gov/events/cardio-circuit-blast/1056616/1
90,cardio circuit blast|2026-07-17,Cardio Circuit Blast,2026-07-17T18:00:00.000-04:00,Dance Room in Highbridge Recreation Center,['Mn'],['Parks & Recreation'],True,40.84260178,-73.93430328,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Dance+Room+in+Highbridge+Recreation+Center%2C+Mn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.84260178%2C-73.93430328,pending,False,,,1056636,https://www1.nyc.gov/events/cardio-circuit-blast/1056636/1
91,cardio circuit blast|2026-07-18,Cardio Circuit Blast,2026-07-18T10:00:00.000-04:00,Dance Room in Thomas Jefferson Recreation Center,['Mn'],['Parks & Recreation'],True,40.79349899,-73.93669891,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Dance+Room+in+Thomas+Jefferson+Recreation+Center%2C+Mn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.79349899%2C-73.93669891,pending,False,,,1056656,https://www1.nyc.gov/events/cardio-circuit-blast/1056656/1
92,cardio circuit blast|2026-07-23,Cardio Circuit Blast,2026-07-23T18:00:00.000-04:00,Dance Room in Thomas Jefferson Recreation Center,['Mn'],['Parks & Recreation'],True,40.79349899,-73.93669891,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Dance+Room+in+Thomas+Jefferson+Recreation+Center%2C+Mn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.79349899%2C-73.93669891,pending,False,,,1056676,https://www1.nyc.gov/events/cardio-circuit-blast/1056676/1
