overlap_key,title,date,distance_miles,recommendation,action,reason,preferred_row_if_forced_to_pick_one,alternate_row,row_a_lat,row_a_lng,row_a_display_location,row_a_borough,row_a_geocoder_source,row_a_geocoder_confidence,row_a_source_event_id,row_b_lat,row_b_lng,row_b_display_location,row_b_borough,row_b_geocoder_source,row_b_geocoder_confidence,row_b_source_event_id
summer sports experience st mary s park game of zones girls basketball clinic|2026-07-25,"Summer Sports Experience: St. Mary's Park ""Game of Zones Girls Basketball Clinic""",2026-07-25,10.385,dedupe_drop_bad_geocode,drop_one_row,Same venue text but far-apart coordinates; keep the better geocode and drop the outlier row.,"40.6757851,-73.9975397","40.8114701,-73.9122192",40.6757851,-73.9975397,Basketball Courts (in St. Mary's Park),Bk,nyc_parks_bigapps_events_snapshot,medium,2182841,40.8114701,-73.9122192,Basketball Courts in St. Mary's Park,Bx,nyc_parks_bigapps_events_snapshot,medium,1109536
total body fitness|2026-07-22,Total Body Fitness,2026-07-22,0.013,dedupe_keep_higher_confidence,drop_one_row,Coordinates are within about 80 meters; treat as one venue with geocode jitter.,"40.63800780311,-73.946847123915","40.63811,-73.94706",40.63811,-73.94706,Multipurpose Room in Shirley Chisholm Recreation Center,Bk,nyc_geosearch_planninglabs,medium,1110356,40.63800780311,-73.946847123915,Multipurpose Room (in Nostrand Playground),Bk,nyc_parks_bigapps_events_snapshot,high,2158183
trees count at st mary s park|2026-07-17,Trees Count at St. Mary's Park,2026-07-17,10.398,split_overlap_key_keep_both_pins,rekey_both_rows,Different venues share the same title|date overlap_key; assign distinct overlap_keys and keep both pins.,"40.812088684154,-73.913327217102","40.6757851,-73.9975397",40.6757851,-73.9975397,St. Mary's PArk (in St. Mary's Park),Bk,nyc_parks_bigapps_events_snapshot,medium,2201629,40.812088684154,-73.913327217102,149th Street and St. Ann's Avenue,Bx,nyc_parks_bigapps_events_snapshot,high,1047556
ugh it s a bug|2026-07-24,Ugh It's a Bug,2026-07-24,0.387,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.588401794434,-74.139099121094","40.5883967,-74.1317297",40.5883967,-74.1317297,Greenbelt Nature Center (in Blood Root Valley),SI,nyc_parks_bigapps_events_snapshot,medium,2190736,40.588401794434,-74.139099121094,Greenbelt Nature Center - 700 Rockland Avenue at Brielle Avenue,SI,nyc_parks_bigapps_events_snapshot,high,1116236
waterfront workouts amp d bootcamp|2026-07-22,Waterfront Workouts: Amp'd Bootcamp,2026-07-22,0.468,manual_review,human_decision_required,Venue text and distance are ambiguous; human should confirm merge vs split before promotion.,"40.6992,-73.9983","40.6930021,-74.001903",40.6992,-73.9983,Brooklyn Bridge Park,Bk,nyc_parks_facility_reference,high,1112476,40.6930021,-74.001903,"Pier 2 (in Brooklyn Bridge Park),Brooklyn Bridge Park",Bk,nyc_parks_facility_reference,medium,2170520
west harlem summer jazz festival|2026-07-24,West Harlem Summer Jazz Festival,2026-07-24,0.088,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.816,-73.9489","40.8172713,-73.9488193",40.816,-73.9489,James Baldwin Lawn in St. Nicholas Park,Mn,nyc_parks_facility_reference,medium,1112636,40.8172713,-73.9488193,"James Baldwin Lawn (in St. Nicholas Park),135th Street and St. Nicholas Avenue (in St. Nicholas Park)",Mn,nyc_parks_facility_reference,medium,2174476
wheel fun rentals celebrates america s 250th with patriotic led bike ride|2026-07-17,Wheel Fun Rentals Celebrates America's 250th with Patriotic LED Bike Ride,2026-07-17,0.963,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.73449,-73.84018","40.7483915,-73.8415597",40.73449,-73.84018,Meadow Lake North in Flushing Meadows Corona Park,Qn,nyc_geosearch_planninglabs,high,1112816,40.7483915,-73.8415597,"Meadow Lake North (in Flushing Meadows Corona Park),Sand Lane and Father Capadanno Boulevard (in Franklin D. Roosevelt Boardwalk and Beach),Marine Park,Bensonhurst Park,David Dinkins Circle (in Flushing Meadows Corona Park)",Qn,nyc_geosearch_planninglabs,medium,2195702
wheel fun rentals celebrates america s 250th with patriotic led bike ride|2026-07-18,Wheel Fun Rentals Celebrates America's 250th with Patriotic LED Bike Ride,2026-07-18,10.872,split_overlap_key_keep_both_pins,rekey_both_rows,Different venues share the same title|date overlap_key; assign distinct overlap_keys and keep both pins.,"40.6079,-73.935","40.7483915,-73.8415597",40.6079,-73.935,Marine Park,Bk,nyc_parks_facility_reference,high,1112976,40.7483915,-73.8415597,"Meadow Lake North (in Flushing Meadows Corona Park),Sand Lane and Father Capadanno Boulevard (in Franklin D. Roosevelt Boardwalk and Beach),Marine Park,Bensonhurst Park,David Dinkins Circle (in Flushing Meadows Corona Park)",Qn,nyc_geosearch_planninglabs,medium,2195703
wheel fun rentals celebrates america s 250th with patriotic led bike ride|2026-07-19,Wheel Fun Rentals Celebrates America's 250th with Patriotic LED Bike Ride,2026-07-19,16.901,split_overlap_key_keep_both_pins,rekey_both_rows,Different venues share the same title|date overlap_key; assign distinct overlap_keys and keep both pins.,"40.7483915,-73.8415597","40.5789033,-74.0740785",40.5789033,-74.0740785,Sand Lane and Father Capadanno Boulevard in Franklin D. Roosevelt Boardwalk and Beach,SI,nyc_geoclient_intersection,medium,1113056,40.7483915,-73.8415597,"Meadow Lake North (in Flushing Meadows Corona Park),Sand Lane and Father Capadanno Boulevard (in Franklin D. Roosevelt Boardwalk and Beach),Marine Park,Bensonhurst Park,David Dinkins Circle (in Flushing Meadows Corona Park)",Qn,nyc_geosearch_planninglabs,medium,2195704
wheel fun rentals celebrates america s 250th with patriotic led bike ride|2026-07-24,Wheel Fun Rentals Celebrates America's 250th with Patriotic LED Bike Ride,2026-07-24,0.963,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.73449,-73.84018","40.7483915,-73.8415597",40.73449,-73.84018,Meadow Lake North in Flushing Meadows Corona Park,Qn,nyc_geosearch_planninglabs,high,1113156,40.7483915,-73.8415597,"Meadow Lake North (in Flushing Meadows Corona Park),Sand Lane and Father Capadanno Boulevard (in Franklin D. Roosevelt Boardwalk and Beach),Marine Park,Bensonhurst Park,David Dinkins Circle (in Flushing Meadows Corona Park)",Qn,nyc_geosearch_planninglabs,medium,2195705
wheel fun rentals celebrates america s 250th with patriotic led bike ride|2026-07-25,Wheel Fun Rentals Celebrates America's 250th with Patriotic LED Bike Ride,2026-07-25,10.872,split_overlap_key_keep_both_pins,rekey_both_rows,Different venues share the same title|date overlap_key; assign distinct overlap_keys and keep both pins.,"40.6079,-73.935","40.7483915,-73.8415597",40.6079,-73.935,Marine Park,Bk,nyc_parks_facility_reference,high,1113296,40.7483915,-73.8415597,"Meadow Lake North (in Flushing Meadows Corona Park),Sand Lane and Father Capadanno Boulevard (in Franklin D. Roosevelt Boardwalk and Beach),Marine Park,Bensonhurst Park,David Dinkins Circle (in Flushing Meadows Corona Park)",Qn,nyc_geosearch_planninglabs,medium,2195706
